CODE,CITY,STATE,TIMEZONE_REGION
FYV,Fayettesville,AR,America/Chicago
GAL,Galena,AK,America/Anchorage
GAM,Gambell,AK,America/Anchorage
GBD,Great Bend,KS,America/Chicago
GBH,Galbraith Lake,AK,America/Anchorage
GCC,Gillette,WY,America/Denver
GCK,Garden City,KS,America/Chicago
GCN,Grand Canyon,AZ,US/Arizona
GDV,Glendive,MT,America/Denver
GEG,Spokane,WA,America/Los_Angeles
GFK,Grand Forks,ND,America/Chicago
GGG,Longview,TX,America/Chicago
GGW,Glasgow,MT,America/Chicago
GJT,Grand Junction,CO,America/Denver
GKN,Gulkana,AK,America/Anchorage
GLH,Greenville,MS,America/Chicago
GLR,Gaylord,MI,America/New_York
GLV,Golovin,AK,America/Anchorage
GNU,Goodnews Bay,AK,America/Anchorage
GNV,Gainesville,FL,America/New_York
GON,New London,CT,America/New_York
GPT,Gulfport,MS,America/Chicago
GRB,Green Bay,WI,America/Chicago
GRI,Grand Island,NE,America/Chicago
GRK,Killeen,TX,America/Chicago
GRR,Grand Rapids,MI,America/New_York
GSB,Goldsboro,NC,America/New_York
GSH,Goshen,IN,America/New_York
GSO,Greensboro/High Point,NC,America/New_York
GSP,Greenville,SC,America/New_York
GST,Gustavus,AK,America/Anchorage
GTF,Great Falls,MT,America/Denver
GTR,Columbus,MS,America/Chicago
GUC,Gunnison,CO,America/Denver
GUM,Guam,GU,Pacific/Guam
GUP,Gallup,NM,America/Denver
GYR,Goodyear,AZ,US/Arizona
GYY,Gary,IN,America/Chicago
HAE,Havasupai,AZ,US/Arizona
HCR,Holy Cross,AK,America/Anchorage
HDN,Hayden,CO,America/Denver
HGR,Hagerstown,MD,America/New_York
HGZ,Hogatza,AK,America/Anchorage
HHH,Hilton Head,SC,America/New_York
HIB,Hibbing,MN,America/Chicago
HIF,Ogden,UT,America/Denver
HII,Lake Havasu City,AZ,US/Arizona
HIK,Honolulu,HI,Pacific/Honolulu
HKB,Healy Lake,AK,America/Anchorage
HKY,Hickory,NC,America/New_York
HLM,Holland,MI,America/New_York
HLN,Helena,MT,America/Denver
HNH,Hoonah,AK,America/Anchorage
HNL,Honolulu,HI,Pacific/Honolulu
HNM,Hana,HI,Pacific/Honolulu
HNS,Haines,AK,America/Anchorage
HOB,Hobbs,NM,America/Denver
HOM,Homer,AK,America/Anchorage
HON,Huron,SD,America/Chicago
HOP,Hopkinsville,KY,America/Chicago
HOT,Hot Springs,AR,America/Chicago
HOU,Houston,TX,America/Chicago
HPB,Hooper Bay,AK,America/Anchorage
HPN,Westchester County,NY,America/New_York
HRL,Harlingen,TX,America/Chicago
HRO,Harrison,AR,America/Chicago
HSL,Huslia,AK,America/Anchorage
HSV,Huntsville,AL,America/Chicago
HTO,East Hampton,NY,America/New_York
HTS,Huntington,WV,America/New_York
HUF,Terre Haute,IN,America/New_York
HUS,Hughes,AK,America/Anchorage
HVN,New Haven,CT,America/New_York
HVR,Havre,MT,America/Denver
HYA,Hyannis,MA,America/New_York
HYG,Hydaburg,AK,America/Anchorage
HYL,Hollis,AK,America/Anchorage
HYS,Hays,KS,America/Chicago
IA1,Shenandoah,IA,America/Chicago
IAB,Wichita,KS,America/Chicago
IAD,Washington,DC,America/New_York
IAG,Niagara Falls,NY,America/New_York
IAH,Houston,TX,America/Chicago
IAN,Kiana,AK,America/Anchorage
ICT,Wichita,KS,America/Chicago
IDA,Idaho Falls,ID,America/Denver
IFP,Bullhead City,AZ,US/Arizona
IGG,Igiugig,AK,America/Anchorage
IGM,Kingman,AZ,US/Arizona
IKO,Nikolski,AK,America/Anchorage
ILG,Wilmington,DE,America/New_York
ILI,Iliamna,AK,America/Anchorage
ILM,Wilmington,NC,America/New_York
ILN,Wilmington,OH,America/New_York
IMT,Iron Mountain,MI,America/Chicago
IND,Indianapolis,IN,America/New_York
INL,International Falls,MN,America/Chicago
INT,Winston-Salem,NC,America/New_York
IPL,Imperial,CA,America/Los_Angeles
IPT,Williamsport,PA,America/New_York
IRC,Circle,AK,America/Anchorage
IRK,Kirksville,MO,America/Chicago
ISM,Kissimmee,FL,America/New_York
ISN,Williston,ND,America/Chicago
ISO,Kinston,NC,America/New_York
ISP,Islip,NY,America/New_York
ISS,Wiscasset,ME,America/New_York
ITH,Ithaca,NY,America/New_York
ITO,Hilo,HI,Pacific/Honolulu
IWD,Ironwood,MI,America/Chicago
IYK,Inyokern,CA,America/Los_Angeles
JAC,Jackson,WY,America/Denver
JAN,Jackson,MS,America/Chicago
JAX,Jacksonville,FL,America/New_York
JBR,Jonesboro,AR,America/Chicago
JFK,New York,NY,America/New_York
JGC,Grand Canyon,AZ,US/Arizona
JHM,Kapalua,HI,Pacific/Honolulu
JHW,Jamestown,NY,America/New_York
JLN,Joplin,MO,America/Chicago
JMS,Jamestown,ND,America/Chicago
JNU,Juneau,AK,America/Anchorage
JQF,Concord,NC,America/New_York
JRA,New York,NY,America/New_York
JRB,New York,NY,America/New_York
JST,Johnstown,PA,America/New_York
JVL,Janesville,WI,America/Chicago
JZE,Trading Bay,AK,America/Anchorage
JZT,Arlington,TX,America/Chicago
KAE,Kake,AK,America/Anchorage
KAL,Kaltag,AK,America/Anchorage
KBC,Birch Creek,AK,America/Anchorage
KCC,Coffman Cove,AK,America/Anchorage
KCG,Chignik,AK,America/Anchorage
KCL,Chignik,AK,America/Anchorage
KCQ,Chignik,AK,America/Anchorage
KEB,English Bay,AK,America/Anchorage
KEK,Ekwok,AK,America/Anchorage
KFP,False Pass,AK,America/Anchorage
KGK,New Koliganek,AK,America/Anchorage
KGX,Grayling,AK,America/Anchorage
KKA,Koyuk,AK,America/Anchorage
KKB,Kitui Bay,AK,America/Anchorage
KKH,Kongiganak,AK,America/Anchorage
KKI,Akiachak,AK,America/Anchorage
KKL,Karluk Lake,AK,America/Anchorage
KLG,Kalskag,AK,America/Anchorage
KLL,Levelock,AK,America/Anchorage
KLN,Larsen Bay,AK,America/Anchorage
KLW,Klawock,AK,America/Anchorage
KMO,Manokotak,AK,America/Anchorage
KMY,Moder Bay,AK,America/Anchorage
KNK,Kakhonak,AK,America/Anchorage
KNW,New Stuyahok,AK,America/Anchorage
KOA,Kona,HI,Pacific/Honolulu
KOT,Kotlik,AK,America/Anchorage
KOY,Olga Bay,AK,America/Anchorage
KOZ,Ouzinkie,AK,America/Anchorage
KPB,Point Baker,AK,America/Anchorage
KPC,Port Clarence,AK,America/Anchorage
KPM,Napamute,AK,America/Anchorage
KPN,Kipnuk,AK,America/Anchorage
KPR,Port Williams,AK,America/Anchorage
KPV,Perryville,AK,America/Anchorage
KPY,Port Bailey,AK,America/Anchorage
KQA,Akutan,AK,America/Anchorage
KSM,Saint Mary's,AK,America/Anchorage
KTB,Thorne Bay,AK,America/Anchorage
KTN,Ketchikan,AK,America/Anchorage
KTS,Teller Mission,AK,America/Anchorage
KUK,Kasigluk,AK,America/Anchorage
KVC,King Cove,AK,America/Anchorage
KVL,Kivalina,AK,America/Anchorage
KWK,Kwigillingok,AK,America/Anchorage
KWN,Quinhagak,AK,America/Anchorage
KWP,West Point,AK,America/Anchorage
KWT,Kwethluk,AK,America/Anchorage
KYK,Karluk,AK,America/Anchorage
KYU,Koyukuk,AK,America/Anchorage
KZB,Zachar Bay,AK,America/Anchorage
LAF,Lafayette,LA,America/Chicago
LAL,Lakeland,FL,America/New_York
LAN,Lansing,MI,America/New_York
LAR,Laramie,WY,America/Denver
LAS,Las Vegas,NV,America/Los_Angeles
LAW,Lawton,OK,America/Chicago
LAX,Los Angeles,CA,America/Los_Angeles
LBB,Lubbock,TX,America/Chicago
LBE,Latrobe,PA,America/New_York
LBF,North Platte,NE,America/Chicago
LBL,Liberal,KS,America/Chicago
LCH,Lake Charles,LA,America/Chicago
LCK,Columbus,OH,America/New_York
LEB,Lebanon,NH,America/New_York
LEX,Lexington,KY,America/New_York
LFI,Hampton,VA,America/New_York
LFT,Lafayette,LA,America/Chicago
LGA,New York,NY,America/New_York
LGB,Long Beach,CA,America/Los_Angeles
LGD,La Grande,OR,America/Los_Angeles
LIH,Kauai Island,HI,Pacific/Honolulu
LIJ,Long Island,AK,America/Anchorage
LIT,Little Rock,AR,America/Chicago
LJN,Lake Jackson,TX,America/Chicago
LKE,Seattle,WA,America/Los_Angeles
LMA,Lake Minchumina,AK,America/Anchorage
LMT,Klamath Falls,OR,America/Los_Angeles
LNK,Lincoln,NE,America/Chicago
LNS,Lancaster,PA,America/New_York
LNY,Lanai,HI,Pacific/Honolulu
LPS,Lopez Island,WA,America/Los_Angeles
LRD,Laredo,TX,America/Chicago
LRU,Las Cruces,NM,America/Denver
LSE,La Crosse,WI,America/Chicago
LSF,Fort Benning,GA,America/New_York
LSV,Las Vegas,NV,America/Los_Angeles
LTS,Altus,OK,America/Chicago
LUK,Cincinnati,OH,America/New_York
LUP,Kalaupapa,HI,Pacific/Honolulu
LUR,Cape Lisburne,AK,America/Anchorage
LVD,Lime Village,AK,America/Anchorage
LWB,Lewisburg,WV,America/New_York
LWM,Lawrence,MA,America/New_York
LWS,Lewiston,ID,America/Los_Angeles
LWT,Lewistown,MT,America/Denver
LYH,Lynchburg,VA,America/New_York
LZU,Lawrenceville,GA,America/New_York
MAE,Madera,CA,America/Los_Angeles
MAF,Midland/Odessa,TX,America/Chicago
MAZ,Mayaguez,PR,America/Puerto_Rico
MBL,Manistee,MI,America/New_York
MBS,Saginaw,MI,America/New_York
MCC,Sacramento,CA,America/Los_Angeles
MCE,Merced,CA,America/Los_Angeles
MCF,Tampa,FL,America/New_York
MCG,McGrath,AK,America/Anchorage
MCI,Kansas City,MO,America/Chicago
MCK,McCook,NE,America/Chicago
MCN,Macon,GA,America/New_York
MCO,Orlando,FL,America/New_York
MCW,Mason City,IA,America/Chicago
MDT,Harrisburg,PA,America/New_York
MDW,Chicago,IL,America/Chicago
MDY,Midway Island,UM,Pacific/Samoa
MEI,Meridian,MS,America/Chicago
MEM,Memphis,TN,America/Chicago
MEO,Manteo,NC,America/New_York
MER,Merced,CA,America/Los_Angeles
MFE,McAllen,TX,America/Chicago
MFR,Medford,OR,America/Los_Angeles
MGM,Montgomery,AL,America/Chicago
MGW,Morgantown,WV,America/New_York
MHK,Manhattan,KS,America/Chicago
MHM,Minchumina,AK,America/Anchorage
MHR,Sacramento,CA,America/Los_Angeles
MHT,Manchester,NH,America/New_York
MHV,Mojave,CA,America/Los_Angeles
MIA,Miami,FL,America/New_York
MIE,Muncie,IN,America/New_York
MIT,Shafter,CA,America/Los_Angeles
MKC,Kansas City,MO,America/Chicago
MKE,Milwaukee,WI,America/Chicago
MKG,Muskegon,MI,America/New_York
MKK,Hoolehua,HI,Pacific/Honolulu
MKL,Jackson,TN,America/Chicago
MLB,Melbourne,FL,America/New_York
MLI,Moline,IL,America/Chicago
MLL,Marshall,AK,America/Anchorage
MLS,Miles City,MT,America/Denver
MLU,Monroe,LA,America/Chicago
MLY,Manley Hot Springs,AK,America/Anchorage
MMI,Athens,TN,America/New_York
MMU,Morristown,NJ,America/New_York
MNM,Menominee,MI,America/Denver
MNT,Minto,AK,America/Anchorage
MOB,Mobile,AL,America/Chicago
MOD,Modesto,CA,America/Los_Angeles
MOT,Minot,ND,America/Chicago
MOU,Mountain Village,AK,America/Anchorage
MPR,McPherson,KS,America/Chicago
MQT,Marquette,MI,America/New_York
MQY,Smyrna,TN,America/Chicago
MRC,Columbia,TN,America/Chicago
MRI,Anchorage,AK,America/Anchorage
MRY,Monterey,CA,America/Los_Angeles
MSC,Mesa,AZ,US/Arizona
MSL,Muscle Shoals,AL,America/Chicago
MSN,Madison,WI,America/Chicago
MSO,Missoula,MT,America/Denver
MSP,Minneapolis,MN,America/Chicago
MSS,Massena,NY,America/New_York
MSY,New Orlins,LA,America/Chicago
MTC,Mount Clemens,MI,America/New_York
MTH,Marathon,FL,America/New_York
MTJ,Montrose,CO,America/Denver
MTM,Metlakatla,AK,America/Anchorage
MTN,Baltimore,MD,America/New_York
MTO,Mattoon,IL,America/Chicago
MUE,Kamuela,HI,Pacific/Honolulu
MUO,Mountain Home,ID,America/Denver
MVL,Stowe,VT,America/New_York
MVN,Mount Vernon,IL,America/Chicago
MVW,Mount Vernon,WA,America/Los_Angeles
MVY,Martha's Vineyard,MA,America/New_York
MWA,Marion,IL,America/Chicago
MWH,Moses Lake,WA,America/Los_Angeles
MXY,McCarthy,AK,America/Anchorage
MYK,May Creek,AK,America/Anchorage
MYR,Myrtle Beach,SC,America/New_York
MYU,Mekoryuk,AK,America/Anchorage
MZJ,Marana,AZ,US/Arizona
NCN,New Chenega,AK,America/Anchorage
NEW,New Orleans,LA,America/Chicago
NGF,Kaneohe Bay,HI,Pacific/Honolulu
NGU,Norfolk,VA,America/New_York
NIB,Nikolai,AK,America/Anchorage
NIP,Jacksonville,FL,America/New_York
NJK,El Centro,CA,America/Los_Angeles
NKI,Naukiti,AK,America/Anchorage
NKT,Cherry Point,NC,America/New_York
NKX,San Diego,CA,America/Los_Angeles
NLG,Nelson Lagoon,AK,America/Anchorage
NME,Nightmute,AK,America/Anchorage
NNK,Naknek,AK,America/Anchorage
NNL,Nondalton,AK,America/Anchorage
NPT,Newport,RI,America/New_York
NQA,Memphis,TN,America/Chicago
NQX,Key West,FL,America/New_York
NUI,Nuiqsut,AK,America/Anchorage
NUL,Nulato,AK,America/Anchorage
NUP,Nunapitchuk,AK,America/Anchorage
NZC,Jacksonville,FL,America/New_York
NZY,San Diego,CA,America/Los_Angeles
OAJ,Jacksonville,NC,America/New_York
OAK,Oakland,CA,America/Los_Angeles
OBU,Kobuk,AK,America/Anchorage
OCF,Ocala,FL,America/New_York
ODW,Oak Harbor,WA,America/Los_Angeles
OFK,Norfolk,NE,America/Chicago
OGD,Ogden,UT,America/Denver
OGG,Kahului,HI,Pacific/Honolulu
OGS,Ogdensburg,NY,America/New_York
OKC,Oklahoma City,OK,America/Chicago
OKK,Kokomo,IN,America/New_York
OLF,Wolf Point,MT,America/Denver
OLH,Old Harbor,AK,America/Anchorage
OMA,Omaha,NE,America/Chicago
OME,Nome,AK,America/Anchorage
OMK,Omak,WA,America/Los_Angeles
ONP,Newport,OR,America/Los_Angeles
ONT,Ontario,CA,America/Los_Angeles
OOK,Toksook Bay,AK,America/Anchorage
OPF,Miami,FL,America/New_York
OQQ,Point Alsworth,AK,America/Anchorage
ORD,Chicago,IL,America/Chicago
ORF,Norfolk,VA,America/New_York
ORH,Worcester,MA,America/New_York
ORI,Port Lions,AK,America/Anchorage
ORT,Northway,AK,America/Anchorage
ORV,Noorvik,AK,America/Anchorage
OSC,Oscoda,MI,America/New_York
OTH,North Bend,OR,America/Los_Angeles
OTS,Anacortes,WA,America/Los_Angeles
OTZ,Kotzebue,AK,America/Anchorage
OWB,Owensboro,KY,America/Chicago
OXC,Oxford,CT,America/New_York
OXR,Oxnard,CA,America/Los_Angeles
PA2,Bedford,PA,America/New_York
PAE,Everett,WA,America/Los_Angeles
PAH,Paducah,KY,America/Chicago
PAM,Panama City,FL,America/Chicago
PBG,Plattsburgh,NY,America/New_York
PBI,West Palm Beach,FL,America/New_York
PCA,Portage Creek,AK,America/Anchorage
PDB,Pedro Bay,AK,America/Anchorage
PDK,Atlanta,GA,America/New_York
PDT,Pendleton,OR,America/Los_Angeles
PDX,Portland,OR,America/Los_Angeles
PEC,Pelican,AK,America/Anchorage
PFN,Panama City,FL,America/Chicago
PGA,Page,AZ,US/Arizona
PGM,Port Graham,AK,America/Anchorage
PGV,Pitt Greenville,NC,America/New_York
PHF,Newport News,VA,America/New_York
PHL,Philadelphia,PA,America/New_York
PHN,Port Huron,MI,America/New_York
PHO,Point Hope,AK,America/Anchorage
PHX,Phoenix,AZ,US/Arizona
PIA,Peoria,IL,America/Chicago
PIB,Laurel,MS,America/Chicago
PIE,Saint Petersburg,FL,America/New_York
PIH,Pocatello,ID,America/Denver
PIP,Pilot Point,AK,America/Anchorage
PIR,Pierre,SD,America/Chicago
PIT,Pittsburgh,PA,America/New_York
PIZ,Point Lay,AK,America/Anchorage
PKA,Napaskiak,AK,America/Anchorage
PKB,Parkersburgh,WV,America/New_York
PLB,Plattsburgh,NY,America/New_York
PLN,Pellston,MI,America/New_York
PMD,Palmdale,CA,America/Los_Angeles
PML,Port Moller,AK,America/Anchorage
PNE,Philadelphia,PA,America/New_York
