Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
BOI,Boise,ID,MST,-7,America/Denver,YES,,
BOK,Brookings,OR,PST,-8,America/Los_Angeles,YES,,
BOS,Boston,MA,EST,-5,America/New_York,YES,,
BPT,Beaumont,TX,CST,-6,America/Chicago,YES,,
BQK,Brunswick,GA,EST,-5,America/New_York,YES,,
BQN,Aguadilla,PR,,-4,America/Puerto_Rico,NO,,
BRD,Brainerd,MN,CST,-6,America/Chicago,YES,,
BRL,Burlington,IA,CST,-6,America/Chicago,YES,,
BRO,Brownsville,TX,CST,-6,America/Chicago,YES,,
BRW,Barrow,AK,,-9,America/Anchorage,YES,,
BTI,Barter Island,AK,,-9,America/Anchorage,YES,,
BTL,Battle Creek,MI,EST,-5,America/New_York,YES,,
BTM,Butte,MT,MST,-7,America/Denver,YES,,
BTR,Baton Rouge,LA,CST,-6,America/Chicago,YES,,
BTT,Bettles,AK,,-9,America/Anchorage,YES,,
BTV,Burlington,VT,EST,-5,America/New_York,YES,,
BUF,Buffalo,NY,EST,-5,America/New_York,YES,,
BUR,Burbank,CA,PST,-8,America/Los_Angeles,YES,,
BVD,Beaver Inlet,AK,,-9,America/Anchorage,YES,,
BVU,Beluga,AK,,-9,America/Anchorage,YES,,
BWD,Brownwood,TX,CST,-6,America/Chicago,YES,,
BWG,Bowling Green,KY,CST,-6,America/Chicago,YES,,
BWI,Baltimore,MD,EST,-5,America/New_York,YES,,
BZN,Bozeman,MT,MST,-7,America/Denver,YES,,
CAD,Cadillac,MI,EST,-5,America/New_York,YES,,
CAE,Columbia,SC,EST,-5,America/New_York,YES,,
CAK,Akron/Canton,OH,EST,-5,America/New_York,YES,,
CBE,Cumberland,MD,EST,-5,America/New_York,YES,,
CDB,Cold Bay,AK,,-9,America/Anchorage,YES,,
CDC,Cedar City,UT,MST,-7,America/Denver,YES,,
CDR,Chadron,NE,MST,-7,America/Denver,YES,,
CDV,Cordova,AK,,-9,America/Anchorage,YES,,
CEC,Crescent City,CA,PST,-8,America/Los_Angeles,YES,,
CEF,Springfield,MA,EST,-5,America/New_York,YES,,
CEM,Central,AK,,-9,America/Anchorage,YES,,
CEZ,Cortez,CO,MST,-7,America/Denver,YES,,
CFA,Coffee Point,AK,,-9,America/Anchorage,YES,,
CGA,Craig,AK,,-9,America/Anchorage,YES,,
CGI,Cape Girardeau,MO,CST,-6,America/Chicago,YES,,
CHA,Chattanooga,TN,EST,-5,America/New_York,YES,,
CHO,Charlottesville,VA,EST,-5,America/New_York,YES,,
CHS,Charleston,SC,EST,-5,America/New_York,YES,,
CHU,Chuathbaluk,AK,,-9,America/Anchorage,YES,,
CIC,Chico,CA,PST,-8,America/Los_Angeles,YES,,
CID,Cedar Rapids,IA,CST,-6,America/Chicago,YES,,
CIK,Chalkyitsik,AK,,-9,America/Anchorage,YES,,
CIN,Carroll,IA,EST,-6,America/Chicago,YES,,
CIU,Sault Ste. Marie,MI,EST,-5,America/New_York,YES,,
CKB,Clarksburg,WV,EST,-5,America/New_York,YES,,
CKD,Crooked Creek,AK,,-9,America/Anchorage,YES,,
CKX,Chicken,AK,,-9,America/Anchorage,YES,,
CLD,San Diego,CA,PST,-8,America/Los_Angeles,YES,,
CLE,Cleveland,OH,EST,-5,America/New_York,YES,,
CLL,College Station,TX,CST,-6,America/Chicago,YES,,
CLM,Port Angeles,WA,PST,-8,America/Los_Angeles,YES,,
CLP,Clarks Point,AK,,-9,America/Anchorage,YES,,
CLT,Charlotte,NC,EST,-5,America/New_York,YES,,
