Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
KQA,Akutan,AK,,-9,America/Anchorage,YES,,
KSM,Saint Mary's,AK,,-9,America/Anchorage,YES,,
KTB,Thorne Bay,AK,,-9,America/Anchorage,YES,,
KTN,Ketchikan,AK,,-9,America/Anchorage,YES,,
KTS,Teller Mission,AK,,-9,America/Anchorage,YES,,
KUK,Kasigluk,AK,,-9,America/Anchorage,YES,,
KVC,King Cove,AK,,-9,America/Anchorage,YES,,
KVL,Kivalina,AK,,-9,America/Anchorage,YES,,
KWK,Kwigillingok,AK,,-9,America/Anchorage,YES,,
KWN,Quinhagak,AK,,-9,America/Anchorage,YES,,
KWP,West Point,AK,,-9,America/Anchorage,YES,,
KWT,Kwethluk,AK,,-9,America/Anchorage,YES,,
KYK,Karluk,AK,,-9,America/Anchorage,YES,,
KYU,Koyukuk,AK,,-9,America/Anchorage,YES,,
KZB,Zachar Bay,AK,,-9,America/Anchorage,YES,,
LAF,Lafayette,LA,CST,-6,America/Chicago,YES,,
LAL,Lakeland,FL,EST,-5,America/New_York,YES,,
LAN,Lansing,MI,EST,-5,America/New_York,YES,,
LAR,Laramie,WY,MST,-7,America/Denver,YES,,
LAS,Las Vegas,NV,PST,-8,America/Los_Angeles,YES,,
LAW,Lawton,OK,CST,-6,America/Chicago,YES,,
LAX,Los Angeles,CA,PST,-8,America/Los_Angeles,YES,,
LBB,Lubbock,TX,CST,-6,America/Chicago,YES,,
LBE,Latrobe,PA,EST,-5,America/New_York,YES,,
LBF,North Platte,NE,CST,-6,America/Chicago,YES,,
LBL,Liberal,KS,CST,-6,America/Chicago,YES,,
LCH,Lake Charles,LA,CST,-6,America/Chicago,YES,,
LCK,Columbus,OH,EST,-5,America/New_York,YES,,
LEB,Lebanon,NH,EST,-5,America/New_York,YES,,
LEX,Lexington,KY,EST,-5,America/New_York,YES,,
LFI,Hampton,VA,EST,-5,America/New_York,YES,,
LFT,Lafayette,LA,CST,-6,America/Chicago,YES,,
LGA,New York,NY,EST,-5,America/New_York,YES,,
LGB,Long Beach,CA,PST,-8,America/Los_Angeles,YES,,
LGD,La Grande,OR,PST,-8,America/Los_Angeles,YES,,
LIH,Kauai Island,HI,,-10,Pacific/Honolulu,NO,,
LIJ,Long Island,AK,,-9,America/Anchorage,YES,,
LIT,Little Rock,AR,CST,-6,America/Chicago,YES,,
LJN,Lake Jackson,TX,CST,-6,America/Chicago,YES,,
LKE,Seattle,WA,PST,-8,America/Los_Angeles,YES,,
LMA,Lake Minchumina,AK,,-9,America/Anchorage,YES,,
LMT,Klamath Falls,OR,PST,-8,America/Los_Angeles,YES,,
LNK,Lincoln,NE,CST,-6,America/Chicago,YES,,
LNS,Lancaster,PA,EST,-5,America/New_York,YES,,
LNY,Lanai,HI,,-10,Pacific/Honolulu,NO,,
LPS,Lopez Island,WA,PST,-8,America/Los_Angeles,YES,,
LRD,Laredo,TX,CST,-6,America/Chicago,YES,,
LRU,Las Cruces,NM,MST,-7,America/Denver,YES,,
LSE,La Crosse,WI,CST,-6,America/Chicago,YES,,
LSF,Fort Benning,GA,EST,-5,America/New_York,YES,,
LSV,Las Vegas,NV,PST,-8,America/Los_Angeles,YES,,
LTS,Altus,OK,CST,-6,America/Chicago,YES,,
LUK,Cincinnati,OH,EST,-5,America/New_York,YES,,
LUP,Kalaupapa,HI,,-10,Pacific/Honolulu,NO,,
LUR,Cape Lisburne,AK,,-9,America/Anchorage,YES,,
LVD,Lime Village,AK,,-9,America/Anchorage,YES,,
LWB,Lewisburg,WV,EST,-5,America/New_York,YES,,
LWM,Lawrence,MA,EST,-5,America/New_York,YES,,
LWS,Lewiston,ID,PST,-8,America/Los_Angeles,YES,,
LWT,Lewistown,MT,MST,-7,America/Denver,YES,,
LYH,Lynchburg,VA,EST,-5,America/New_York,YES,,
LZU,Lawrenceville,GA,EST,-5,America/New_York,YES,,
MAE,Madera,CA,PST,-8,America/Los_Angeles,YES,,
MAF,Midland/Odessa,TX,CST,-6,America/Chicago,YES,,
MAZ,Mayaguez,PR,,-4,America/Puerto_Rico,NO,,
MBL,Manistee,MI,EST,-5,America/New_York,YES,,
MBS,Saginaw,MI,EST,-5,America/New_York,YES,,
MCC,Sacramento,CA,PST,-8,America/Los_Angeles,YES,,
MCE,Merced,CA,PST,-8,America/Los_Angeles,YES,,
MCF,Tampa,FL,EST,-5,America/New_York,YES,,
MCG,McGrath,AK,,-9,America/Anchorage,YES,,
MCI,Kansas City,MO,CST,-6,America/Chicago,YES,,
MCK,McCook,NE,CST,-6,America/Chicago,YES,,
MCN,Macon,GA,EST,-5,America/New_York,YES,,
MCO,Orlando,FL,EST,-5,America/New_York,YES,,
MCW,Mason City,IA,CST,-6,America/Chicago,YES,,
MDT,Harrisburg,PA,EST,-5,America/New_York,YES,,
MDW,Chicago,IL,CST,-6,America/Chicago,YES,,
MDY,Midway Island,UM,,-11,Pacific/Samoa,NO,,
MEI,Meridian,MS,CST,-6,America/Chicago,YES,,
MEM,Memphis,TN,CST,-6,America/Chicago,YES,,
MEO,Manteo,NC,EST,-5,America/New_York,YES,,
MER,Merced,CA,PST,-8,America/Los_Angeles,YES,,
MFE,McAllen,TX,CST,-6,America/Chicago,YES,,
MFR,Medford,OR,PST,-8,America/Los_Angeles,YES,,
MGM,Montgomery,AL,CST,-6,America/Chicago,YES,,
MGW,Morgantown,WV,EST,-5,America/New_York,YES,,
MHK,Manhattan,KS,CST,-6,America/Chicago,YES,,
MHM,Minchumina,AK,,-9,America/Anchorage,YES,,
MHR,Sacramento,CA,PST,-8,America/Los_Angeles,YES,,
MHT,Manchester,NH,EST,-5,America/New_York,YES,,
MHV,Mojave,CA,PST,-8,America/Los_Angeles,YES,,
MIA,Miami,FL,EST,-5,America/New_York,YES,,
MIE,Muncie,IN,EST,-5,America/New_York,YES,,
MIT,Shafter,CA,PST,-8,America/Los_Angeles,YES,,
MKC,Kansas City,MO,CST,-6,America/Chicago,YES,,
MKE,Milwaukee,WI,CST,-6,America/Chicago,YES,,
MKG,Muskegon,MI,EST,-5,America/New_York,YES,,
MKK,Hoolehua,HI,,-10,Pacific/Honolulu,NO,,
MKL,Jackson,TN,CST,-6,America/Chicago,YES,,
MLB,Melbourne,FL,EST,-5,America/New_York,YES,,
MLI,Moline,IL,CST,-6,America/Chicago,YES,,
MLL,Marshall,AK,,-9,America/Anchorage,YES,,
MLS,Miles City,MT,MST,-7,America/Denver,YES,,
MLU,Monroe,LA,CST,-6,America/Chicago,YES,,
MLY,Manley Hot Springs,AK,,-9,America/Anchorage,YES,,
MMI,Athens,TN,EST,-5,America/New_York,YES,,
MMU,Morristown,NJ,EST,-5,America/New_York,YES,,
MNM,Menominee,MI,MST,-7,America/Denver,YES,,
MNT,Minto,AK,,-9,America/Anchorage,YES,,
MOB,Mobile,AL,CST,-6,America/Chicago,YES,,
MOD,Modesto,CA,PST,-8,America/Los_Angeles,YES,,
MOT,Minot,ND,CST,-6,America/Chicago,YES,,
MOU,Mountain Village,AK,,-9,America/Anchorage,YES,,
MPR,McPherson,KS,CST,-6,America/Chicago,YES,,
MQT,Marquette,MI,EST,-5,America/New_York,YES,,
MQY,Smyrna,TN,CST,-6,America/Chicago,YES,,
MRC,Columbia,TN,CST,-6,America/Chicago,YES,,
MRI,Anchorage,AK,,-9,America/Anchorage,YES,,
MRY,Monterey,CA,PST,-8,America/Los_Angeles,YES,,
MSC,Mesa,AZ,MST,-7,US/Arizona,NO,,
MSL,Muscle Shoals,AL,CST,-6,America/Chicago,YES,,
MSN,Madison,WI,CST,-6,America/Chicago,YES,,
MSO,Missoula,MT,MST,-7,America/Denver,YES,,
MSP,Minneapolis,MN,CST,-6,America/Chicago,YES,,
MSS,Massena,NY,EST,-5,America/New_York,YES,,
MSY,New Orlins,LA,CST,-6,America/Chicago,YES,,
MTC,Mount Clemens,MI,EST,-5,America/New_York,YES,,
MTH,Marathon,FL,EST,-5,America/New_York,YES,,
MTJ,Montrose,CO,MST,-7,America/Denver,YES,,
MTM,Metlakatla,AK,,-9,America/Anchorage,YES,,
MTN,Baltimore,MD,EST,-5,America/New_York,YES,,
MTO,Mattoon,IL,CST,-6,America/Chicago,YES,,
MUE,Kamuela,HI,,-10,Pacific/Honolulu,NO,,
MUO,Mountain Home,ID,MST,-7,America/Denver,YES,,
MVL,Stowe,VT,EST,-5,America/New_York,YES,,
MVN,Mount Vernon,IL,CST,-6,America/Chicago,YES,,
MVW,Mount Vernon,WA,PST,-8,America/Los_Angeles,YES,,
MVY,Martha's Vineyard,MA,EST,-5,America/New_York,YES,,
MWA,Marion,IL,CST,-6,America/Chicago,YES,,
MWH,Moses Lake,WA,PST,-8,America/Los_Angeles,YES,,
MXY,McCarthy,AK,,-9,America/Anchorage,YES,,
MYK,May Creek,AK,,-9,America/Anchorage,YES,,
MYR,Myrtle Beach,SC,EST,-5,America/New_York,YES,,
MYU,Mekoryuk,AK,,-9,America/Anchorage,YES,,
MZJ,Marana,AZ,MST,-7,US/Arizona,NO,,
NCN,New Chenega,AK,,-9,America/Anchorage,YES,,
NEW,New Orleans,LA,CST,-6,America/Chicago,YES,,
NGF,Kaneohe Bay,HI,,-10,Pacific/Honolulu,NO,,
NGU,Norfolk,VA,EST,-5,America/New_York,YES,,
NIB,Nikolai,AK,,-9,America/Anchorage,YES,,
NIP,Jacksonville,FL,EST,-5,America/New_York,YES,,
NJK,El Centro,CA,PST,-8,America/Los_Angeles,YES,,
NKI,Naukiti,AK,,-9,America/Anchorage,YES,,
NKT,Cherry Point,NC,EST,-5,America/New_York,YES,,
NKX,San Diego,CA,PST,-8,America/Los_Angeles,YES,,
NLG,Nelson Lagoon,AK,,-9,America/Anchorage,YES,,
NME,Nightmute,AK,,-9,America/Anchorage,YES,,
NNK,Naknek,AK,,-9,America/Anchorage,YES,,
NNL,Nondalton,AK,,-9,America/Anchorage,YES,,
NPT,Newport,RI,EST,-5,America/New_York,YES,,
NQA,Memphis,TN,CST,-6,America/Chicago,YES,,
NQX,Key West,FL,EST,-5,America/New_York,YES,,
NUI,Nuiqsut,AK,,-9,America/Anchorage,YES,,
NUL,Nulato,AK,,-9,America/Anchorage,YES,,
NUP,Nunapitchuk,AK,,-9,America/Anchorage,YES,,
NZC,Jacksonville,FL,EST,-5,America/New_York,YES,,
NZY,San Diego,CA,PST,-8,America/Los_Angeles,YES,,
OAJ,Jacksonville,NC,EST,-5,America/New_York,YES,,
OAK,Oakland,CA,PST,-8,America/Los_Angeles,YES,,
OBU,Kobuk,AK,,-9,America/Anchorage,YES,,
OCF,Ocala,FL,EST,-5,America/New_York,YES,,
ODW,Oak Harbor,WA,PST,-8,America/Los_Angeles,YES,,
OFK,Norfolk,NE,CST,-6,America/Chicago,YES,,
OGD,Ogden,UT,MST,-7,America/Denver,YES,,
OGG,Kahului,HI,,-10,Pacific/Honolulu,NO,,
OGS,Ogdensburg,NY,EST,-5,America/New_York,YES,,
OKC,Oklahoma City,OK,CST,-6,America/Chicago,YES,,
OKK,Kokomo,IN,EST,-5,America/New_York,YES,,
OLF,Wolf Point,MT,MST,-7,America/Denver,YES,,
OLH,Old Harbor,AK,,-9,America/Anchorage,YES,,
OMA,Omaha,NE,CST,-6,America/Chicago,YES,,
OME,Nome,AK,,-9,America/Anchorage,YES,,
OMK,Omak,WA,PST,-8,America/Los_Angeles,YES,,
ONP,Newport,OR,PST,-8,America/Los_Angeles,YES,,
ONT,Ontario,CA,PST,-8,America/Los_Angeles,YES,,
OOK,Toksook Bay,AK,,-9,America/Anchorage,YES,,
OPF,Miami,FL,EST,-5,America/New_York,YES,,
OQQ,Point Alsworth,AK,,-9,America/Anchorage,YES,,
ORD,Chicago,IL,CST,-6,America/Chicago,YES,,
ORF,Norfolk,VA,EST,-5,America/New_York,YES,,
ORH,Worcester,MA,EST,-5,America/New_York,YES,,
ORI,Port Lions,AK,,-9,America/Anchorage,YES,,
ORT,Northway,AK,,-9,America/Anchorage,YES,,
ORV,Noorvik,AK,,-9,America/Anchorage,YES,,
OSC,Oscoda,MI,EST,-5,America/New_York,YES,,
OTH,North Bend,OR,PST,-8,America/Los_Angeles,YES,,
OTS,Anacortes,WA,PST,-8,America/Los_Angeles,YES,,
OTZ,Kotzebue,AK,,-9,America/Anchorage,YES,,
OWB,Owensboro,KY,CST,-6,America/Chicago,YES,,
OXC,Oxford,CT,EST,-5,America/New_York,YES,,
OXR,Oxnard,CA,PST,-8,America/Los_Angeles,YES,,
PA2,Bedford,PA,EST,-5,America/New_York,YES,,
PAE,Everett,WA,PST,-8,America/Los_Angeles,YES,,
PAH,Paducah,KY,CST,-6,America/Chicago,YES,,
PAM,Panama City,FL,CST,-6,America/Chicago,YES,,
PBG,Plattsburgh,NY,EST,-5,America/New_York,YES,,
PBI,West Palm Beach,FL,EST,-5,America/New_York,YES,,
PCA,Portage Creek,AK,,-9,America/Anchorage,YES,,
PDB,Pedro Bay,AK,,-9,America/Anchorage,YES,,
PDK,Atlanta,GA,EST,-5,America/New_York,YES,,
PDT,Pendleton,OR,PST,-8,America/Los_Angeles,YES,,
PDX,Portland,OR,PST,-8,America/Los_Angeles,YES,,
PEC,Pelican,AK,,-9,America/Anchorage,YES,,
PFN,Panama City,FL,CST,-6,America/Chicago,YES,,
PGA,Page,AZ,MST,-7,US/Arizona,NO,,
PGM,Port Graham,AK,,-9,America/Anchorage,YES,,
PGV,Pitt Greenville,NC,EST,-5,America/New_York,YES,,
PHF,Newport News,VA,EST,-5,America/New_York,YES,,
PHL,Philadelphia,PA,EST,-5,America/New_York,YES,,
PHN,Port Huron,MI,EST,-5,America/New_York,YES,,
PHO,Point Hope,AK,,-9,America/Anchorage,YES,,
PHX,Phoenix,AZ,MST,-7,US/Arizona,NO,,
PIA,Peoria,IL,CST,-6,America/Chicago,YES,,
PIB,Laurel,MS,CST,-6,America/Chicago,YES,,
PIE,Saint Petersburg,FL,EST,-5,America/New_York,YES,,
PIH,Pocatello,ID,MST,-7,America/Denver,YES,,
PIP,Pilot Point,AK,,-9,America/Anchorage,YES,,
PIR,Pierre,SD,CST,-6,America/Chicago,YES,,
PIT,Pittsburgh,PA,EST,-5,America/New_York,YES,,
PIZ,Point Lay,AK,,-9,America/Anchorage,YES,,
PKA,Napaskiak,AK,,-9,America/Anchorage,YES,,
PKB,Parkersburgh,WV,EST,-5,America/New_York,YES,,
PLB,Plattsburgh,NY,EST,-5,America/New_York,YES,,
PLN,Pellston,MI,EST,-5,America/New_York,YES,,
PMD,Palmdale,CA,PST,-8,America/Los_Angeles,YES,,
PML,Port Moller,AK,,-9,America/Anchorage,YES,,
PNE,Philadelphia,PA,EST,-5,America/New_York,YES,,
PNS,Pensacola,FL,CST,-6,America/Chicago,YES,,
POB,Fayetteville,NC,EST,-5,America/New_York,YES,,
PPC,Prospect Creek,AK,,-9,America/Anchorage,YES,,
PPG,Pago Pago,AS,,-11,Pacific/Samoa,NO,,
PPV,Port Protection,AK,,-9,America/Anchorage,YES,,
PQI,Presque Isle,ME,EST,-5,America/New_York,YES,,
PQS,Pilot Station,AK,,-9,America/Anchorage,YES,,
PRC,Prescott,AZ,MST,-7,US/Arizona,NO,,
PSC,Pasco,WA,PST,-8,America/Los_Angeles,YES,,
PSE,Ponce,PR,,-4,America/Puerto_Rico,NO,,
PSF,Pittsfield,MA,EST,-5,America/New_York,YES,,
PSG,Petersburg,AK,,-9,America/Anchorage,YES,,
PSM,Portsmouth,NH,EST,-5,America/New_York,YES,,
PSP,Palm Springs,CA,PST,-8,America/Los_Angeles,YES,,
PTA,Port Alsworth,AK,,-9,America/Anchorage,YES,,
PTD,Port Alexander,AK,,-9,America/Anchorage,YES,,
PTH,Port Heiden,AK,,-9,America/Anchorage,YES,,
PTK,Pontiac,MI,EST,-5,America/New_York,YES,,
PTU,Platinum,AK,,-9,America/Anchorage,YES,,
PTV,Porterville,CA,PST,-8,America/Los_Angeles,YES,,
PUB,Pueblo,CO,MST,-7,America/Denver,YES,,
PUW,Pullman,WA,PST,-8,America/Los_Angeles,YES,,
PVC,Provincetown,MA,EST,-5,America/New_York,YES,,
PVD,Providence,RI,EST,-5,America/New_York,YES,,
PVU,Provo,UT,MST,-7,America/Denver,YES,,
PVY,Pope Vanoy,AK,,-9,America/Anchorage,YES,,
PWK,Chicago,IL,CST,-6,America/Chicago,YES,,
PWM,Portland,ME,EST,-5,America/New_York,YES,,
QKV,Kona Village,HI,,-10,Pacific/Honolulu,NO,,
QQB,Keyes Point,AK,,-9,America/Anchorage,YES,,
RAP,Rapid City,SD,MST,-7,America/Denver,YES,,
RBG,Roseburg,OR,PST,-8,America/Los_Angeles,YES,,
RBY,Ruby,AK,,-9,America/Anchorage,YES,,
RCA,Rapid City,SD,MST,-7,America/Denver,YES,,
RCE,Roche Harbor,WA,PST,-8,America/Los_Angeles,YES,,
RDB,Red Dog,AK,,-9,America/Anchorage,YES,,
RDD,Redding,CA,PST,-8,America/Los_Angeles,YES,,
RDG,Reading,PA,EST,-5,America/New_York,YES,,
RDM,Redmond,OR,PST,-8,America/Los_Angeles,YES,,
RDU,Raleigh/Durham,NC,EST,-5,America/New_York,YES,,
RDV,Red Devil,AK,,-9,America/Anchorage,YES,,
RFD,Rockford,IL,CST,-6,America/Chicago,YES,,
RHI,Rhinelander,WI,CST,-6,America/Chicago,YES,,
RIC,Richmond,VA,EST,-5,America/New_York,YES,,
RIV,Riverside,CA,PST,-8,America/Los_Angeles,YES,,
RIW,Riverton,WY,MST,-7,America/Denver,YES,,
RKD,Rockland,ME,EST,-5,America/New_York,YES,,
RKS,Rock Springs,WY,MST,-7,America/Denver,YES,,
RME,Rome,NY,EST,-5,America/New_York,YES,,
RMP,Rampart,AK,,-9,America/Anchorage,YES,,
RNO,Reno,NV,PST,-8,America/Los_Angeles,YES,,
ROA,Roanoke,VA,EST,-5,America/New_York,YES,,
ROC,Rochester,NY,EST,-5,America/New_York,YES,,
ROP,Rota,MP,,10,Pacific/Saipan,NO,,
ROW,Roswell,NM,MST,-7,America/Denver,YES,,
RQI,Nixon Fork Mine,AK,,-9,America/Anchorage,YES,,
RQZ,Mary Esther,FL,CST,-6,America/Chicago,YES,,
RSH,Russian Mission,AK,,-9,America/Anchorage,YES,,
RSJ,Rosario,WA,PST,-8,America/Los_Angeles,YES,,
RST,Rochester,MN,CST,-6,America/Chicago,YES,,
RSW,Fort Myers,FL,EST,-5,America/New_York,YES,,
RUI,Ruidoso,NM,MST,-7,America/Denver,YES,,
RUT,Rutland,VT,EST,-5,America/New_York,YES,,
RWI,Rocky Mount/Wilson,NC,EST,-5,America/New_York,YES,,
SAF,Santa Fe,NM,MST,-7,America/Denver,YES,,
SAN,San Diego,CA,PST,-8,America/Los_Angeles,YES,,
SAT,San Antonio,TX,CST,-6,America/Chicago,YES,,
SAV,Savannah,GA,EST,-5,America/New_York,YES,,
SBA,Santa Barbara,CA,PST,-8,America/Los_Angeles,YES,,
SBN,South Bend,IN,EST,-5,America/New_York,YES,,
SBP,San Luis Obispo,CA,PST,-8,America/Los_Angeles,YES,,
SBY,Salisbury-Ocean City,MD,EST,-5,America/New_York,YES,,
SCC,Prudhoe Bay/Deadhorse,AK,,-9,America/Anchorage,YES,,
SCE,State College,PA,EST,-5,America/New_York,YES,,
SCH,Schenectady,NY,EST,-5,America/New_York,YES,,
SCK,Stockton,CA,PST,-8,America/Los_Angeles,YES,,
SCM,Scammon Bay,AK,,-9,America/Anchorage,YES,,
SDF,Louisville,KY,EST,-5,America/New_York,YES,,
SDM,San Diego,CA,PST,-8,America/Los_Angeles,YES,,
SDP,Sand Point,AK,,-9,America/Anchorage,YES,,
SDY,Sidney,MT,MST,-7,America/Denver,YES,,
SEA,Seattle,WA,PST,-8,America/Los_Angeles,YES,,
SFB,Orlando,FL,EST,-5,America/New_York,YES,,
SFO,San Francisco,CA,PST,-8,America/Los_Angeles,YES,,
SFZ,Smithfield,RI,EST,-5,America/New_York,YES,,
SGF,Springfield,MO,CST,-6,America/Chicago,YES,,
SGU,Saint George,UT,MST,-7,America/Denver,YES,,
SGY,Skagway,AK,,-9,America/Anchorage,YES,,
SHD,Staunton,VA,EST,-5,America/New_York,YES,,
SHG,Shungnak,AK,,-9,America/Anchorage,YES,,
SHH,Shishmaref,AK,,-9,America/Anchorage,YES,,
SHR,Sheridan,WY,MST,-7,America/Denver,YES,,
SHV,Shreveport,LA,CST,-6,America/Chicago,YES,,
SHX,Shageluk,AK,,-9,America/Anchorage,YES,,
SIG,San Juan,PR,,-4,America/Puerto_Rico,NO,,
SIT,Sitka,AK,,-9,America/Anchorage,YES,,
SJC,San Jose,CA,PST,-8,America/Los_Angeles,YES,,
SJT,San Angelo,TX,CST,-6,America/Chicago,YES,,
SJU,San Juan,PR,,-4,America/Puerto_Rico,NO,,
SKK,Shaktoolik,AK,,-9,America/Anchorage,YES,,
SKW,Skwentna,AK,,-9,America/Anchorage,YES,,
SLC,Salt Lake City,UT,MST,-7,America/Denver,YES,,
SLE,Salem,OR,PST,-8,America/Los_Angeles,YES,,
SLK,Saranac Lake,NY,EST,-5,America/New_York,YES,,
SLN,Salina,KS,CST,-6,America/Chicago,YES,,
SLQ,Sleetmute,AK,,-9,America/Anchorage,YES,,
SMF,Sacramento,CA,PST,-8,America/Los_Angeles,YES,,
SMK,Saint Michael,AK,,-9,America/Anchorage,YES,,
SMX,Santa Maria,CA,PST,-8,America/Los_Angeles,YES,,
SNA,Santa Ana,CA,PST,-8,America/Los_Angeles,YES,,
SNP,Saint Paul Island,AK,,-9,America/Anchorage,YES,,
SOP,Southern Pines,NC,EST,-5,America/New_York,YES,,
SOV,Seldovia,AK,,-9,America/Anchorage,YES,,
SOW,Show Low,AZ,MST,-7,US/Arizona,NO,,
SPB,Saint Thomas,VI,,-4,America/Virgin,NO,,
SPI,Springfield,IL,CST,-6,America/Chicago,YES,,
SPN,Saipan,MP,,10,Pacific/Saipan,NO,,
SPS,Wichita Falls,TX,CST,-6,America/Chicago,YES,,
SQV,Sequim,WA,PST,-8,America/Los_Angeles,YES,,
SRQ,Sarasota,FL,EST,-5,America/New_York,YES,,
SRV,Stony River,AK,,-9,America/Anchorage,YES,,
SSB,Saint Croix,VI,,-4,America/Virgin,NO,,
SSC,Sumter,SC,EST,-5,America/New_York,YES,,
STC,Saint Cloud,MN,CST,-6,America/Chicago,YES,,
STG,Saint George Island,AK,,-9,America/Anchorage,YES,,
STJ,Saint Joseph,MO,CST,-6,America/Chicago,YES,,
STL,Saint Louis,MO,CST,-6,America/Chicago,YES,,
STS,Santa Rosa,CA,PST,-8,America/Los_Angeles,YES,,
STT,Saint Thomas,VI,,-4,America/Virgin,NO,,
STX,Saint Croix,VI,,-4,America/Virgin,NO,,
SUA,Stuart,FL,EST,-5,America/New_York,YES,,
SUN,Sun Valley,ID,MST,-7,America/Denver,YES,,
SUS,Saint Louis,MO,CST,-6,America/Chicago,YES,,
SUU,Fairfield,CA,PST,-8,America/Los_Angeles,YES,,
SUX,Sioux City,IA,CST,-6,America/Chicago,YES,,
SVA,Savoonga,AK,,-9,America/Anchorage,YES,,
SVC,Silver City,NM,MST,-7,America/Denver,YES,,
SVN,Savannah,GA,EST,-5,America/New_York,YES,,
SVS,Stevens College,AK,,-9,America/Anchorage,YES,,
SVW,Sparrevohn,AK,,-9,America/Anchorage,YES,,
SWF,Newburgh,NY,EST,-5,America/New_York,YES,,
SWO,Stillwater,OK,CST,-6,America/Chicago,YES,,
SWW,Sweetwater,TX,CST,-6,America/Chicago,YES,,
SXP,Sheldon Point,AK,,-9,America/Anchorage,YES,,
SYB,Seal Bay,AK,,-9,America/Anchorage,YES,,
SYR,Syracuse,NY,EST,-5,America/New_York,YES,,
SZL,Warrensburg,MO,CST,-6,America/Chicago,YES,,
TAL,Tanana,AK,,-9,America/Anchorage,YES,,
TBN,Fort Leonard Wood,MO,CST,-6,America/Chicago,YES,,
TCL,Tuscaloosa,AL,CST,-6,America/Chicago,YES,,
TCM,Tacoma,WA,PST,-8,America/Los_Angeles,YES,,
TCT,Takotna,AK,,-9,America/Anchorage,YES,,
TDF,Roxboro,NC,EST,-5,America/New_York,YES,,
TEB,Teterboro,NJ,EST,-5,America/New_York,YES,,
TEK,Tatitlek,AK,,-9,America/Anchorage,YES,,
TEX,Telluride,CO,MST,-7,America/Denver,YES,,
THV,York,PA,EST,-5,America/New_York,YES,,
TIK,Oklahoma City,OK,CST,-6,America/Chicago,YES,,
TIQ,Tinian,MP,,10,Pacific/Saipan,NO,,
TKE,Tenakee Springs,AK,,-9,America/Anchorage,YES,,
TKJ,Tok,AK,,-9,America/Anchorage,YES,,
TLA,Teller,AK,,-9,America/Anchorage,YES,,
TLF,Telida,AK,,-9,America/Anchorage,YES,,
TLH,Tallahassee,FL,EST,-5,America/New_York,YES,,
TLJ,Tatalina,AK,,-9,America/Anchorage,YES,,
TLT,Tuluksak,AK,,-9,America/Anchorage,YES,,
TMB,Tamiami,FL,EST,-5,America/New_York,YES,,
TN2,Sparta,TN,CST,-6,America/Chicago,YES,,
TN6,Dyersburg,TN,CST,-6,America/Chicago,YES,,
TNC,Tin City,AK,,-9,America/Anchorage,YES,,
TNK,Tununak,AK,,-9,America/Anchorage,YES,,
TOG,Togiak Village,AK,,-9,America/Anchorage,YES,,
TOL,Toledo,OH,EST,-5,America/New_York,YES,,
TPA,Tampa,FL,EST,-5,America/New_York,YES,,
TRI,"Bristol, Johnson City/Kingsport","VA, TN",EST,-5,America/New_York,YES,,
TSP,Tehachapi,CA,PST,-8,America/Los_Angeles,YES,,
TSS,New York,NY,EST,-5,America/New_York,YES,,
TTN,Trenton,NJ,EST,-5,America/New_York,YES,,
TUL,Tulsa,OK,CST,-6,America/Chicago,YES,,
TUP,Tupelo,MS,CST,-6,America/New_York,YES,,
TUS,Tucson,AZ,MST,-7,US/Arizona,NO,,
TVC,Traverse City,MI,EST,-5,America/New_York,YES,,
TVF,Thief River Falls,MN,CST,-6,America/Chicago,YES,,
TWA,Twin Hills,AK,,-9,America/Anchorage,YES,,
TWF,Twin Falls,ID,MST,-7,America/Denver,YES,,
TXK,Texarkana,AR,CST,-6,America/Chicago,YES,,
TYE,Tyonek,AK,,-9,America/Anchorage,YES,,
TYR,Tyler,TX,CST,-6,America/Chicago,YES,,
TYS,Knoxville,TN,EST,-5,America/New_York,YES,,
UAM,Guam,GU,,10,Pacific/Guam,NO,,
UGB,Pilot Point,AK,,-9,America/Anchorage,YES,,
UGI,Uganik,AK,,-9,America/Anchorage,YES,,
UGS,Ugashik,AK,,-9,America/Anchorage,YES,,
UIN,Quincy,IL,CST,-6,America/Chicago,YES,,
UKI,Ukiah,CA,PST,-8,America/Los_Angeles,YES,,
UMT,Umiat,AK,,-9,America/Anchorage,YES,,
UNK,Unalakleet,AK,,-9,America/Anchorage,YES,,
UST,Saint Augustine,FL,EST,-5,America/New_York,YES,,
UTM,Tunica,MS,CST,-6,America/Chicago,YES,,
UTO,Utopia Creek,AK,,-9,America/Anchorage,YES,,
UUK,Kuparuk,AK,,-9,America/Anchorage,YES,,
UXO,Fitchburg,MA,EST,-5,America/New_York,YES,,
VAD,Valdosta,GA,EST,-5,America/New_York,YES,,
VAK,Chevak,AK,,-9,America/Anchorage,YES,,
VCT,Victoria,TX,CST,-6,America/Chicago,YES,,
VCV,Victorville,CA,PST,-8,America/Los_Angeles,YES,,
VDZ,Valdez,AK,,-9,America/Anchorage,YES,,
VEE,Venetie,AK,,-9,America/Anchorage,YES,,
VEL,Vernal,UT,MST,-7,America/Denver,YES,,
VIS,Visalia,CA,PST,-8,America/Los_Angeles,YES,,
VLD,Valdosta,GA,EST,-5,America/New_York,YES,,
VOK,Camp Douglas,WI,CST,-6,America/Chicago,YES,,
